Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Role
Ana,All,4.36,9.72,49.77,9.72,4.21,63,2737,8419.0,6.21,56.0,Support
Ana,Bronze,4.18,6.16,41.01,8.9,3.83,62,2597,7823.0,6.61,52.0,Support
Ana,Silver,4.04,7.28,44.3,8.99,3.9,63,2619,7938.0,6.56,54.0,Support
Ana,Gold,4.22,7.38,46.08,9.13,4.03,63,2604,8101.0,6.54,53.0,Support
Ana,Platinum,4.38,8.78,49.98,9.59,4.26,64,2690,8429.0,6.26,56.0,Support
Ana,Diamond,4.53,11.31,50.61,10.0,4.14,61,2802,8473.0,6.19,56.0,Support
Ana,Master,4.63,9.59,49.52,9.72,4.09,61,2748,8371.0,6.25,55.0,Support
Ana,Grandmaster,4.36,8.54,47.95,9.3,3.89,62,2665,8299.0,6.46,55.0,Support
Mercy,All,3.96,5.15,48.46,2.03,0.9,52,398,8815.0,6.5,,Support
Mercy,Bronze,3.23,2.98,37.54,1.98,1.07,54,416,8641.0,7.34,,Support
Mercy,Silver,3.21,4.3,37.31,2.07,1.01,54,422,8826.0,7.18,,Support
Mercy,Gold,3.41,4.9,47.09,1.99,0.99,53,380,8858.0,6.99,,Support
Mercy,Platinum,3.79,4.73,47.84,1.82,0.89,53,356,8913.0,6.73,,Support
Mercy,Diamond,3.82,5.14,47.99,2.04,0.94,49,377,8716.0,6.88,,Support
Mercy,Master,3.84,4.7,48.44,1.92,1.01,48,359,8712.0,6.75,,Support
Mercy,Grandmaster,3.55,6.88,48.49,2.02,1.21,48,379,8587.0,6.94,,Support
Cassidy,All,2.33,3.67,41.19,17.89,6.69,52,8537,,8.51,,Damage
Cassidy,Bronze,2.18,1.32,44.25,15.68,5.63,53,7679,,8.66,,Damage
Cassidy,Silver,2.25,1.53,45.91,16.59,6.37,57,7820,,8.8,,Damage
Cassidy,Gold,2.37,1.92,44.22,17.12,6.34,53,8107,,8.62,,Damage
Cassidy,Platinum,2.35,3.18,44.31,17.78,6.69,54,8402,,8.5,,Damage
Cassidy,Diamond,2.28,5.69,32.75,17.65,6.53,53,8500,,8.58,,Damage
Cassidy,Master,2.25,4.9,49.8,17.76,6.28,51,8692,,8.75,,Damage
Cassidy,Grandmaster,2.18,3.85,46.59,16.71,5.83,49,8308,,8.86,,Damage
Genji,All,2.36,3.38,48.61,18.24,5.39,64,7518,,8.54,,Damage
Genji,Bronze,2.58,1.53,47.45,17.78,5.47,67,7338,,8.47,,Damage
Genji,Silver,2.5,1.91,46.44,17.53,5.49,67,7171,,8.35,,Damage
Genji,Gold,2.43,1.6,43.41,17.65,5.4,65,7232,,8.25,,Damage
Genji,Platinum,2.45,3.12,48.81,18.47,5.44,66,7449,,8.56,,Damage
Genji,Diamond,2.52,4.77,50.19,18.68,5.43,63,7697,,8.44,,Damage
Genji,Master,2.65,5.23,47.48,19.49,5.62,66,7956,,8.21,,Damage
Genji,Grandmaster,2.61,4.92,52.86,18.97,5.23,61,7735,,8.21,,Damage
Kiriko,All,4.93,9.34,48.91,8.55,3.8,69,2498,9041.0,5.83,,Support
Kiriko,Bronze,4.78,8.04,45.8,7.95,3.71,67,2369,8544.0,6.12,,Support
Kiriko,Silver,4.67,7.46,47.91,8.07,3.88,68,2328,8521.0,6.23,,Support
Kiriko,Gold,4.81,7.06,46.71,7.97,3.59,69,2392,8689.0,5.98,,Support
Kiriko,Platinum,5.1,8.2,48.72,8.53,3.81,70,2500,9002.0,5.93,,Support
