Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Role
Genji,All,2.5,3.45,49.28,18.3,5.06,64,7292,,8.09,,Damage
Genji,Bronze,2.37,1.15,44.89,16.33,5.34,70,6572,,8.15,,Damage
Genji,Silver,2.53,1.4,47.39,16.91,5.26,69,6777,,8.16,,Damage
Genji,Gold,2.5,2.21,48.29,17.63,5.31,68,7044,,8.17,,Damage
Genji,Platinum,2.51,3.53,49.1,18.32,5.21,66,7291,,8.14,,Damage
Genji,Diamond,2.52,5.4,48.84,18.8,5.04,63,7469,,8.12,,Damage
Genji,Master,2.48,6.67,50.16,18.79,4.72,59,7478,,8.04,,Damage
Genji,Grandmaster,2.48,6.81,49.55,18.22,4.37,57,7397,,7.84,,Damage
Cassidy,All,2.11,3.4,44.27,16.94,6.15,50,8196,,8.75,,Damage
Cassidy,Bronze,2.05,1.24,41.51,15.51,6.14,55,7228,,8.89,,Damage
Cassidy,Silver,2.07,1.61,42.97,16.14,6.32,54,7455,,8.81,,Damage
Cassidy,Gold,2.12,2.22,43.53,16.56,6.31,54,7781,,8.76,,Damage
Cassidy,Platinum,2.14,3.57,44.05,17.03,6.26,51,8137,,8.78,,Damage
Cassidy,Diamond,2.09,5.22,43.89,17.3,6.12,49,8473,,8.78,,Damage
Cassidy,Master,2.08,6.44,44.61,17.03,5.8,47,8614,,8.74,,Damage
Cassidy,Grandmaster,2.02,5.74,45.21,16.65,5.52,45,8720,,8.58,,Damage
Hanzo,All,3.13,4.09,48.29,17.25,5.87,50,7654,,7.7,,Damage
Hanzo,Bronze,3.04,1.85,44.4,16.05,6.14,53,7239,,7.76,,Damage
Hanzo,Silver,3.11,2.16,46.99,16.54,6.22,51,7398,,7.74,,Damage
Hanzo,Gold,3.21,2.96,48.28,17.13,6.23,52,7577,,7.71,,Damage
Hanzo,Platinum,3.15,4.15,48.05,17.52,6.08,51,7730,,7.72,,Damage
Hanzo,Diamond,3.11,5.84,48.09,17.55,5.78,49,7771,,7.78,,Damage
Hanzo,Master,3.03,7.38,48.26,17.08,5.36,46,7651,,7.77,,Damage
Hanzo,Grandmaster,2.98,7.61,48.1,16.23,4.78,43,7454,,7.68,,Damage
Widowmaker,All,2.46,2.28,46.75,15.39,3.46,21,5708,,8.21,45.0,Damage
Widowmaker,Bronze,2.61,1.0,42.06,14.17,3.62,17,5344,,7.71,44.0,Damage
Widowmaker,Silver,2.63,1.19,44.24,14.75,3.62,19,5541,,7.85,45.0,Damage
Widowmaker,Gold,2.59,1.38,45.47,15.31,3.64,20,5714,,7.97,45.0,Damage
Widowmaker,Platinum,2.49,2.17,45.86,15.64,3.56,21,5774,,8.23,45.0,Damage
Widowmaker,Diamond,2.38,3.28,47.03,15.67,3.47,22,5761,,8.47,45.0,Damage
Widowmaker,Master,2.3,4.71,47.13,15.29,3.29,21,5667,,8.44,44.0,Damage
Widowmaker,Grandmaster,2.31,5.44,49.65,14.77,3.04,18,5609,,8.22,43.0,Damage
Soldier: 76,All,2.91,4.09,47.09,19.17,7.13,51,9023,1299.0,8.09,,Damage
Soldier: 76,Bronze,2.73,2.37,42.6,17.84,7.45,62,8282,1316.0,8.57,,Damage
Soldier: 76,Silver,2.83,3.03,45.53,18.64,7.62,60,8573,1322.0,8.39,,Damage
Soldier: 76,Gold,2.89,3.67,46.71,18.95,7.46,56,8799,1303.0,8.26,,Damage
Soldier: 76,Platinum,2.91,4.25,46.52,19.32,7.18,51,9072,1296.0,8.12,,Damage
Soldier: 76,Diamond,2.92,5.37,46.56,19.51,6.91,48,9280,1296.0,8.03,,Damage
Soldier: 76,Master,2.91,6.09,48.47,19.0,6.44,45,9272,1297.0,7.93,,Damage
Soldier: 76,Grandmaster,2.87,4.42,47.99,18.52,6.18,43,9240,1314.0,7.85,,Damage
Tracer,All,2.52,2.75,48.36,17.83,6.06,58,6613,,8.08,,Damage
Tracer,Bronze,2.61,1.02,44.68,16.67,6.29,67,6147,,8.05,,Damage
Tracer,Silver,2.53,1.1,44.72,17.21,6.32,65,6294,,8.1,,Damage
Tracer,Gold,2.55,1.55,47.03,17.6,6.35,62,6488,,8.15,,Damage
Tracer,Platinum,2.53,2.47,47.17,17.84,6.2,60,6589,,8.2,,Damage
Tracer,Diamond,2.49,3.61,47.36,18.14,6.09,56,6684,,8.26,,Damage
Tracer,Master,2.49,5.77,48.56,18.11,5.82,54,6714,,8.01,,Damage
Tracer,Grandmaster,2.66,9.81,52.67,18.09,5.43,52,6933,,7.42,,Damage
Junkrat,All,2.76,2.03,47.97,16.87,6.11,50,8323,,8.1,,Damage
Junkrat,Bronze,2.63,1.84,44.67,16.24,6.66,60,7962,,8.33,,Damage
Junkrat,Silver,2.7,2.08,46.81,16.67,6.59,58,8175,,8.29,,Damage
Junkrat,Gold,2.77,2.12,47.88,16.9,6.47,54,8315,,8.18,,Damage
Junkrat,Platinum,2.79,2.06,47.6,17.03,6.09,49,8409,,8.07,,Damage
Junkrat,Diamond,2.74,2.19,47.89,16.89,5.64,44,8380,,8.08,,Damage
Junkrat,Master,2.69,2.43,48.8,16.3,5.2,41,8193,,8.08,,Damage
Junkrat,Grandmaster,2.48,2.26,47.04,15.42,4.99,41,7924,,8.16,,Damage
Ashe,All,2.72,2.71,48.78,17.19,5.86,47,8804,,7.51,41.0,Damage
Ashe,Bronze,2.69,1.18,45.38,15.44,6.06,52,7601,,7.26,38.0,Damage
Ashe,Silver,2.74,1.54,47.71,16.19,6.12,51,7935,,7.36,39.0,Damage
Ashe,Gold,2.82,1.91,48.02,16.73,6.15,51,8310,,7.39,40.0,Damage
Ashe,Platinum,2.76,2.86,48.48,17.36,6.03,48,8774,,7.47,41.0,Damage
Ashe,Diamond,2.68,3.82,48.42,17.66,5.81,45,9134,,7.65,41.0,Damage
Ashe,Master,2.58,4.25,49.07,17.52,5.39,42,9337,,7.75,41.0,Damage
Ashe,Grandmaster,2.62,5.11,52.08,17.39,4.99,39,9660,,7.65,41.0,Damage
Reaper,All,2.86,2.06,47.19,19.88,7.59,75,8242,,7.98,,Damage
Reaper,Bronze,2.87,1.38,45.05,18.89,7.64,79,7549,,8.03,,Damage
Reaper,Silver,2.85,1.86,47.45,19.47,7.79,79,7798,,8.06,,Damage
Reaper,Gold,2.89,2.06,47.53,19.87,7.74,77,8094,,8.0,,Damage
Reaper,Platinum,2.88,2.27,46.58,20.09,7.66,74,8345,,7.98,,Damage
Reaper,Diamond,2.83,2.43,46.82,20.14,7.49,72,8525,,8.02,,Damage
Reaper,Master,2.71,2.22,46.83,19.38,7.06,69,8389,,8.06,,Damage
Reaper,Grandmaster,2.74,1.84,46.86,19.09,6.86,69,8216,,7.91,,Damage
Pharah,All,3.04,1.88,49.31,20.85,6.32,39,9082,,8.41,,Damage
Pharah,Bronze,3.17,1.09,45.94,19.08,6.74,45,8297,,8.0,,Damage
Pharah,Silver,3.2,1.37,48.28,20.03,6.69,43,8567,,8.17,,Damage
Pharah,Gold,3.14,1.64,49.32,20.69,6.61,41,8871,,8.27,,Damage
Pharah,Platinum,3.05,2.04,49.19,21.12,6.38,40,9137,,8.45,,Damage
Pharah,Diamond,2.92,2.29,48.48,21.16,6.04,37,9318,,8.65,,Damage
Pharah,Master,2.84,2.69,50.16,20.89,5.68,35,9413,,8.64,,Damage
Pharah,Grandmaster,3.03,2.45,52.9,20.73,5.49,33,9406,,8.31,,Damage
Mei,All,3.85,2.24,49.33,17.98,7.61,91,7066,,7.21,,Damage
Mei,Bronze,3.79,1.36,47.56,17.19,8.05,100,6570,,7.33,,Damage
Mei,Silver,3.88,1.6,48.16,17.84,8.13,100,6817,,7.34,,Damage
Mei,Gold,3.99,1.84,49.04,18.13,7.99,96,6970,,7.23,,Damage
Mei,Platinum,3.88,2.35,48.45,18.12,7.67,91,7118,,7.23,,Damage
Mei,Diamond,3.72,2.86,49.72,18.0,7.37,87,7203,,7.22,,Damage
Mei,Master,3.69,3.18,50.15,17.57,6.93,81,7123,,7.13,,Damage
Mei,Grandmaster,3.56,3.39,50.46,17.04,6.48,77,7022,,7.11,,Damage
Sombra,All,5.02,1.47,43.85,16.4,5.77,42,5620,,5.84,,Damage
Sombra,Bronze,4.36,0.68,36.18,14.18,5.36,48,4715,,6.3,,Damage
Sombra,Silver,4.7,0.77,41.27,15.31,5.73,47,4969,,6.28,,Damage
Sombra,Gold,4.87,0.95,42.74,16.19,5.92,45,5313,,6.04,,Damage
Sombra,Platinum,4.92,1.39,43.89,16.47,5.83,43,5545,,5.94,,Damage
Sombra,Diamond,5.03,2.12,44.52,16.76,5.81,41,5830,,5.84,,Damage
Sombra,Master,5.13,2.75,43.34,16.6,5.65,40,5980,,5.62,,Damage
Sombra,Grandmaster,5.45,3.31,45.0,16.24,5.34,38,6093,,5.25,,Damage
Bastion,All,2.94,1.42,44.15,19.6,8.17,66,10167,,8.13,,Damage
Bastion,Bronze,2.8,1.38,40.82,18.7,8.38,69,9493,,8.46,,Damage
Bastion,Silver,2.83,1.32,41.93,19.17,8.44,69,9766,,8.4,,Damage
Bastion,Gold,2.89,1.42,44.17,19.53,8.41,69,10032,,8.23,,Damage
Bastion,Platinum,2.97,1.53,44.26,19.85,8.25,66,10311,,8.11,,Damage
Bastion,Diamond,2.97,1.55,43.29,19.74,7.91,63,10393,,8.04,,Damage
Bastion,Master,2.98,1.48,42.62,19.29,7.56,59,10274,,8.0,,Damage
Bastion,Grandmaster,2.75,1.51,44.05,18.66,7.22,57,9998,,8.16,,Damage
Symmetra,All,3.53,1.29,51.48,19.0,8.24,65,8363,,7.86,,Damage
Symmetra,Bronze,3.65,0.93,50.98,18.48,8.67,68,7738,,7.9,,Damage
Symmetra,Silver,3.66,1.16,51.37,19.03,8.65,68,8078,,7.95,,Damage
Symmetra,Gold,3.66,1.2,52.36,19.31,8.56,66,8336,,7.88,,Damage
Symmetra,Platinum,3.53,1.41,51.05,19.27,8.29,64,8511,,7.89,,Damage
Symmetra,Diamond,3.4,1.45,49.96,18.94,7.95,64,8554,,7.91,,Damage
Symmetra,Master,3.33,1.33,51.07,18.3,7.49,61,8333,,7.85,,Damage
Symmetra,Grandmaster,3.02,1.5,53.1,17.29,6.99,60,7938,,7.96,,Damage
Torbjorn,All,3.11,1.46,50.86,17.84,7.25,49,9444,,6.81,,Damage
Torbjorn,Bronze,3.16,1.17,50.27,17.66,7.77,53,9003,,6.81,,Damage
Torbjorn,Silver,3.3,1.14,51.28,17.98,7.8,51,9249,,6.84,,Damage
Torbjorn,Gold,3.28,1.18,50.96,18.15,7.7,50,9423,,6.77,,Damage
Torbjorn,Platinum,3.22,1.42,50.95,18.14,7.36,48,9552,,6.77,,Damage
Torbjorn,Diamond,2.94,1.92,49.87,17.74,6.99,49,9538,,6.91,,Damage
Torbjorn,Master,2.84,2.67,50.23,17.29,6.68,50,9379,,6.86,,Damage
Torbjorn,Grandmaster,2.66,3.1,49.71,16.28,6.21,53,9104,,6.91,,Damage
Sojourn,All,3.01,1.37,43.24,18.51,6.97,56,8418,,7.88,,Damage
Sojourn,Bronze,2.69,0.86,38.03,16.07,7.08,63,7557,,8.3,,Damage
Sojourn,Silver,2.79,0.84,41.09,17.26,7.29,62,7943,,8.13,,Damage
Sojourn,Gold,2.99,0.95,42.05,17.97,7.3,60,8174,,8.04,,Damage
Sojourn,Platinum,3.04,1.28,43.34,18.67,7.1,56,8447,,7.92,,Damage
Sojourn,Diamond,3.03,1.72,41.99,18.91,6.85,54,8584,,7.93,,Damage
