Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Role
Reinhardt,All,2.91,3.17,50.57,16.35,5.94,117,8334,,7.08,,Tank
Reinhardt,Bronze,2.57,1.73,45.84,14.97,5.95,126,7243,,7.59,,Tank
Reinhardt,Silver,2.84,2.07,48.68,15.86,6.2,126,7734,,7.34,,Tank
Reinhardt,Gold,2.95,2.61,50.6,16.22,6.16,124,8079,,7.14,,Tank
Reinhardt,Platinum,2.92,3.67,50.15,16.46,6.04,118,8400,,7.08,,Tank
Reinhardt,Diamond,2.88,4.41,50.1,16.45,5.8,112,8529,,7.1,,Tank
Reinhardt,Master,2.73,4.57,49.55,15.74,5.44,108,8288,,7.23,,Tank
Reinhardt,Grandmaster,2.54,4.78,49.74,15.02,5.14,108,7771,,7.44,,Tank
D.Va,All,6.32,1.95,46.28,20.73,5.94,121,8423,,5.38,,Tank
D.Va,Bronze,5.32,1.81,43.25,19.21,6.36,135,7463,,5.88,,Tank
D.Va,Silver,5.9,1.61,45.25,20.35,6.5,133,7931,,5.74,,Tank
D.Va,Gold,6.18,1.54,46.04,20.95,6.45,130,8233,,5.6,,Tank
D.Va,Platinum,6.26,1.9,45.94,21.05,6.13,122,8440,,5.48,,Tank
D.Va,Diamond,6.44,2.56,45.7,20.8,5.66,115,8574,,5.34,,Tank
D.Va,Master,6.28,3.66,45.72,19.96,5.2,112,8441,,5.2,,Tank
D.Va,Grandmaster,6.12,4.94,47.07,18.78,4.63,109,8292,,5.03,,Tank
Zarya,All,4.71,2.22,45.22,19.68,8.86,126,9772,,6.15,,Tank
Zarya,Bronze,4.25,1.39,42.29,17.61,8.47,129,8497,,6.66,,Tank
Zarya,Silver,4.48,1.51,44.69,18.83,9.0,133,8998,,6.4,,Tank
Zarya,Gold,4.67,1.88,44.96,19.38,9.03,131,9392,,6.25,,Tank
Zarya,Platinum,4.7,2.48,44.9,19.8,8.93,126,9792,,6.18,,Tank
Zarya,Diamond,4.84,2.95,43.69,19.98,8.77,120,10038,,6.13,,Tank
Zarya,Master,4.8,2.92,45.29,19.62,8.42,116,10005,,6.1,,Tank
